concentration,T2,T2_err
100,0.5098272079251671,0.09533231253487748
200,0.5015743854921113,0.049498115829557494
300,0.6521911259656693,0.07251120404267176
400,0.8220211015608818,0.061139910072898186
500,0.9858482976817767,0.07479845511861115
600,1.2309824579667459,0.06391356945380462
700,1.360215430189712,0.08384337768961951
