delay,amplitude
1.0,2.3600000000000003
1.2,1.8399999999999999
1.4,1.4799999999999995
1.5999999999999999,1.3199999999999994
1.7999999999999998,1.1199999999999992
1.9999999999999998,0.879999999999999
2.1999999999999997,0.839999999999999
2.3999999999999995,0.6799999999999997
2.5999999999999996,0.5999999999999996
2.8,0.5599999999999996
2.9999999999999996,0.4800000000000004
3.1999999999999993,0.4400000000000004
3.3999999999999995,0.40000000000000036
3.5999999999999996,0.40000000000000036
3.7999999999999994,0.4400000000000004
