Current (mA) - Plot 0,Voltage (mV) - Plot 0
0,-0.00010626
0,-0.00010638
-0.25,-0.0222662
-0.5,-0.0444358
-0.75,-0.0665693
-1,-0.0887054
-1.25,-0.110804
-1.5,-0.132887
-1.75,-0.154948
-2,-0.176972
-2.25,-0.198955
-2.5,-0.220883
-2.75,-0.242779
-3,-0.264623
-3.25,-0.286395
-3.5,-0.308126
-3.75,-0.329801
-4,-0.351387
-4.25,-0.372928
-4.5,-0.394386
-4.75,-0.415793
-5,-0.437126
-5.25,-0.458376
-5.5,-0.479563
-5.75,-0.500674
-6,-0.521714
-6.25,-0.542669
-6.5,-0.563551
-6.75,-0.58438
-7,-0.605134
-7.25,-0.625812
-7.5,-0.646414
-7.75,-0.666937
-8,-0.687409
-8.25,-0.707818
-8.5,-0.728142
-8.75,-0.748411
-9,-0.768618
-9.25,-0.788759
-9.5,-0.808858
-9.75,-0.8289
-10,-0.848873
-10.25,-0.868785
-10.5,-0.888656
-10.75,-0.908463
-11,-0.928233
-11.25,-0.947946
-11.5,-0.967599
-11.75,-0.987214
-12,-1.00679
-12.25,-1.02624
-12.5,-1.04567
-12.75,-1.06511
-13,-1.0845
-13.25,-1.10384
-13.5,-1.12314
-13.75,-1.1424
-14,-1.16162
-14.25,-1.18081
-14.5,-1.19994
-14.75,-1.219
-15,-1.23806
-15.25,-1.25706
-15.5,-1.27606
-15.75,-1.29497
-16,-1.31388
-16.25,-1.33274
-16.5,-1.35156
-16.75,-1.37034
-17,-1.3891
-17.25,-1.4078
-17.5,-1.42647
-17.75,-1.44508
-18,-1.4637
-18.25,-1.48225
-18.5,-1.50077
-18.75,-1.51924
-19,-1.53772
-19.25,-1.55611
-19.5,-1.57447
-19.75,-1.59284
-20,-1.61114
-20.25,-1.6294
-20.5,-1.64763
-20.75,-1.66586
-21,-1.68402
-21.25,-1.70213
-21.5,-1.72023
-21.75,-1.73826
-22,-1.75639
-22.25,-1.77429
-22.5,-1.79229
-22.75,-1.81017
-23,-1.82807
-23.25,-1.84593
-23.5,-1.86376
-23.75,-1.88157
-24,-1.89932
-24.25,-1.91721
-24.5,-1.93482
-24.75,-1.95235
-25,-1.97011
-25.25,-1.98766
-25.5,-2.00526
-25.75,-2.02276
-26,-2.04027
-26.25,-2.05765
