Current (mA) - Plot 0,Voltage (mV) - Plot 0
-26.5,-2.07506
-26.75,-2.09239
-27,-2.10984
-27.25,-2.12711
-27.5,-2.14437
-27.75,-2.16163
-28,-2.17891
-28.25,-2.19594
-28.5,-2.21309
-28.75,-2.23016
-29,-2.24723
-29.25,-2.26436
-29.5,-2.28137
-29.75,-2.29823
-30,-2.31514
-30.25,-2.33207
-30.5,-2.34893
-30.75,-2.36587
-31,-2.38264
-31.25,-2.39947
-31.5,-2.41623
-31.75,-2.43289
-32,-2.44979
-32.25,-2.46664
-32.5,-2.48325
-32.75,-2.49977
-33,-2.51631
-33.25,-2.53277
-33.5,-2.54923
-33.75,-2.56566
-34,-2.58208
-34.25,-2.59844
-34.5,-2.61479
-34.75,-2.63109
-35,-2.64735
-35.25,-2.66363
-35.5,-2.67986
-35.75,-2.69603
-36,-2.71223
-36.25,-2.72836
-36.5,-2.74446
-36.75,-2.76058
-37,-2.77658
-37.25,-2.7926
-37.5,-2.80861
-37.75,-2.82461
-38,-2.84054
-38.25,-2.85648
-38.5,-2.87234
-38.75,-2.88821
-39,-2.90398
-39.25,-2.91981
-39.5,-2.9356
-39.75,-2.95134
-40,-2.96707
-40.25,-2.98274
-40.5,-2.99842
-40.75,-3.01404
-41,-3.02963
-41.25,-3.04521
-41.5,-3.06076
-41.75,-3.07626
-42,-3.09175
-42.25,-3.10716
-42.5,-3.12259
-42.75,-3.13801
-43,-3.1534
-43.25,-3.16874
-43.5,-3.18406
-43.75,-3.19934
-44,-3.21463
-44.25,-3.22988
-44.5,-3.2451
-44.75,-3.26032
-45,-3.27549
-45.25,-3.29069
-45.5,-3.30581
-45.75,-3.32091
-46,-3.33598
-46.25,-3.35101
-46.5,-3.36624
-46.75,-3.38123
-47,-3.39616
-47.25,-3.41107
-47.5,-3.42595
-47.75,-3.44083
-48,-3.45569
-48.25,-3.47055
-48.5,-3.4856
-48.75,-3.50041
-49,-3.51521
-49.25,-3.52997
-49.5,-3.54471
-49.75,-3.5594
-50,-3.57407
-50,-3.57409
-49.75,-3.55939
-49.5,-3.5447
-49.25,-3.52997
-49,-3.51522
-48.75,-3.50043
-48.5,-3.48566
-48.25,-3.47082
-48,-3.45598
-47.75,-3.4411
-47.5,-3.42622
-47.25,-3.41134
-47,-3.3964
-46.75,-3.38146
-46.5,-3.36644
-46.25,-3.35146
-46,-3.33641
-45.75,-3.32134
-45.5,-3.30623
-45.25,-3.29112
-45,-3.27598
-44.75,-3.26081
-44.5,-3.24563
-44.25,-3.23042
-44,-3.2152
-43.75,-3.19994
-43.5,-3.18464
-43.25,-3.16932
-43,-3.15397
-42.75,-3.13861
-42.5,-3.1232
-42.25,-3.10775
-42,-3.0923
-41.75,-3.07679
-41.5,-3.06128
-41.25,-3.04571
-41,-3.03014
-40.75,-3.01452
-40.5,-2.9989
-40.25,-2.98326
-40,-2.96755
-39.75,-2.95186
-39.5,-2.93609
-39.25,-2.92027
-39,-2.90452
-38.75,-2.88863
-38.5,-2.87278
-38.25,-2.85689
-38,-2.84098
-37.75,-2.82497
-37.5,-2.80903
-37.25,-2.79301
-37,-2.7769
-36.75,-2.76086
-36.5,-2.74477
-36.25,-2.72866
-36,-2.71249
-35.75,-2.69631
-35.5,-2.68009
-35.25,-2.66383
-35,-2.64754
-34.75,-2.63125
-34.5,-2.61491
-34.25,-2.59856
-34,-2.58219
-33.75,-2.56575
-33.5,-2.54932
-33.25,-2.53284
-33,-2.51631
-32.75,-2.49979
-32.5,-2.48331
-32.25,-2.46672
-32,-2.44995
-31.75,-2.43319
-31.5,-2.41649
-31.25,-2.39986
-31,-2.38318
-30.75,-2.36614
-30.5,-2.34951
-30.25,-2.33239
-30,-2.3157
-29.75,-2.29871
-29.5,-2.28176
-29.25,-2.26476
-29,-2.24771
-28.75,-2.23053
-28.5,-2.21335
-28.25,-2.19636
-28,-2.17903
-27.75,-2.16194
-27.5,-2.1447
-27.25,-2.12736
-27,-2.11011
-26.75,-2.09269
-26.5,-2.07524
-26.25,-2.05788
-26,-2.04039
-25.75,-2.02292
-25.5,-2.00546
-25.25,-1.98774
-25,-1.97024
-24.75,-1.95256
-24.5,-1.93481
-24.25,-1.91715
-24,-1.89946
-23.75,-1.88173
-23.5,-1.86382
-23.25,-1.84597
-23,-1.82799
-22.75,-1.81019
-22.5,-1.79218
-22.25,-1.77418
-22,-1.75622
-21.75,-1.73809
-21.5,-1.72003
-21.25,-1.70195
-21,-1.68377
-20.75,-1.66561
-20.5,-1.64736
-20.25,-1.62908
-20,-1.61076
-19.75,-1.59247
-19.5,-1.57409
-19.25,-1.55573
-19,-1.53728
-18.75,-1.51882
-18.5,-1.50031
-18.25,-1.48174
-18,-1.46315
-17.75,-1.44453
-17.5,-1.42592
-17.25,-1.40719
-17,-1.38849
-16.75,-1.36975
-16.5,-1.35101
-16.25,-1.33218
-16,-1.31332
-15.75,-1.29445
-15.5,-1.27553
-15.25,-1.25654
-15,-1.23753
-14.75,-1.21847
-14.5,-1.19939
-14.25,-1.18027
-14,-1.1611
-13.75,-1.14189
-13.5,-1.12262
-13.25,-1.10334
-13,-1.08398
-12.75,-1.06461
-12.5,-1.04516
-12.25,-1.02571
-12,-1.00628
-11.75,-0.986764
-11.5,-0.967144
-11.25,-0.947507
-11,-0.927786
-10.75,-0.908025
-10.5,-0.888223
-10.25,-0.868357
-10,-0.848439
-9.75,-0.82847
-9.5,-0.808446
-9.25,-0.78836
-9,-0.76822
-8.75,-0.748017
-8.5,-0.727743
-8.25,-0.707412
-8,-0.687015
-7.75,-0.666558
-7.5,-0.646028
-7.25,-0.625411
-7,-0.604764
-6.75,-0.584018
-6.5,-0.563209
-6.25,-0.542328
-6,-0.521365
-5.75,-0.500338
-5.5,-0.479235
-5.25,-0.458065
-5,-0.436813
-4.75,-0.415495
-4.5,-0.3941
-4.25,-0.37265
-4,-0.351111
-3.75,-0.329529
-3.5,-0.307878
-3.25,-0.286165
-3,-0.264378
-2.75,-0.242556
-2.5,-0.220664
-2.25,-0.198742
-2,-0.176762
-1.75,-0.154763
-1.5,-0.132708
-1.25,-0.110622
-1,-0.088537
-0.75,-0.0664114
-0.5,-0.0442827
-0.25,-0.0221311
0,2.19E-05
0.25,0.0221795
0.5,0.0443323
0.75,0.0664731
1,0.0885969
1.25,0.110718
1.5,0.132795
1.75,0.154841
2,0.176851
2.25,0.198831
2.5,0.220757
2.75,0.242651
3,0.264475
3.25,0.286252
3.5,0.307976
3.75,0.329646
4,0.351228
4.25,0.372767
4.5,0.394234
4.75,0.41562
5,0.436959
5.25,0.458203
5.5,0.479374
5.75,0.500489
6,0.521532
6.25,0.542503
6.5,0.563389
6.75,0.584202
7,0.604951
7.25,0.625637
7.5,0.646239
7.75,0.666753
8,0.687218
8.25,0.707633
8.5,0.727962
8.75,0.748232
9,0.768449
9.25,0.7886
9.5,0.808682
9.75,0.828715
10,0.848698
10.25,0.868615
10.5,0.888488
10.75,0.908285
11,0.928056
11.25,0.947782
11.5,0.967435
11.75,0.987042
12,1.0066
12.25,1.0262
12.5,1.04565
12.75,1.06509
13,1.08447
13.25,1.10382
13.5,1.12312
13.75,1.1424
14,1.1616
14.25,1.18077
14.5,1.19992
14.75,1.21898
15,1.23805
15.25,1.25706
15.5,1.27603
15.75,1.29497
16,1.31386
16.25,1.33273
16.5,1.35153
16.75,1.37032
17,1.38905
17.25,1.40778
17.5,1.42645
17.75,1.44509
18,1.46367
18.25,1.48223
18.5,1.50077
18.75,1.51928
19,1.53773
19.25,1.5561
19.5,1.57449
19.75,1.59285
20,1.61114
20.25,1.62941
20.5,1.64767
20.75,1.66584
21,1.68401
21.25,1.70215
21.5,1.72029
21.75,1.7383
22,1.75633
22.25,1.77431
22.5,1.79228
22.75,1.81025
23,1.82812
23.25,1.846
23.5,1.86377
23.75,1.88162
24,1.89939
24.25,1.91722
24.5,1.93491
24.75,1.95254
25,1.97021
25.25,1.98771
25.5,2.00529
25.75,2.02284
26,2.04034
26.25,2.05773
26.5,2.07514
26.75,2.09259
27,2.10984
27.25,2.12721
27.5,2.1445
27.75,2.1617
28,2.17893
28.25,2.19609
28.5,2.21324
28.75,2.23036
29,2.2475
29.25,2.26445
29.5,2.28149
29.75,2.29846
30,2.31534
30.25,2.33232
30.5,2.34906
30.75,2.36595
31,2.38276
31.25,2.39953
31.5,2.41627
31.75,2.43296
32,2.44963
32.25,2.46629
32.5,2.48287
32.75,2.49946
33,2.51599
33.25,2.53248
33.5,2.54895
33.75,2.5654
34,2.58178
34.25,2.59815
34.5,2.61449
34.75,2.63081
35,2.64711
35.25,2.6634
35.5,2.67965
35.75,2.69588
36,2.71208
36.25,2.72822
36.5,2.74437
36.75,2.76045
37,2.77651
37.25,2.79251
37.5,2.80858
37.75,2.82454
38,2.84052
38.25,2.85639
38.5,2.87233
38.75,2.88816
39,2.90401
39.25,2.91984
39.5,2.9356
39.75,2.95138
40,2.96707
40.25,2.98277
40.5,2.99848
40.75,3.01417
41,3.02983
41.25,3.04626
41.5,3.06191
41.75,3.07733
42,3.09283
42.25,3.10827
42.5,3.12364
42.75,3.13909
43,3.15449
43.25,3.16978
43.5,3.1852
43.75,3.20045
44,3.21575
44.25,3.23099
44.5,3.2462
44.75,3.26144
45,3.27663
45.25,3.29178
45.5,3.30686
45.75,3.32198
46,3.33704
46.25,3.35209
46.5,3.36711
46.75,3.38209
47,3.39709
47.25,3.41198
47.5,3.42693
47.75,3.44182
48,3.45673
48.25,3.47161
48.5,3.48641
48.75,3.50119
49,3.51601
49.25,3.53074
49.5,3.54547
49.75,3.56019
50,3.5749
50,3.57491
49.75,3.5602
49.5,3.54548
49.25,3.53075
49,3.51602
48.75,3.50119
48.5,3.48641
48.25,3.47159
48,3.45672
47.75,3.44188
47.5,3.42694
47.25,3.41202
47,3.39707
46.75,3.38213
46.5,3.36713
46.25,3.35212
46,3.33708
45.75,3.32197
45.5,3.30691
45.25,3.29177
45,3.27663
44.75,3.26148
44.5,3.24625
44.25,3.23102
44,3.21581
43.75,3.20055
43.5,3.18528
43.25,3.16995
43,3.15458
42.75,3.13916
42.5,3.12375
42.25,3.10836
42,3.09289
41.75,3.07741
41.5,3.06186
41.25,3.04635
41,3.03068
40.75,3.01507
40.5,2.99952
40.25,2.9838
40,2.96824
39.75,2.95242
39.5,2.93671
39.25,2.92092
39,2.90501
38.75,2.8891
38.5,2.87345
38.25,2.85752
38,2.84172
37.75,2.82568
37.5,2.80945
37.25,2.79372
37,2.77767
36.75,2.76147
36.5,2.7454
36.25,2.72913
36,2.7131
35.75,2.69695
35.5,2.68079
35.25,2.66445
35,2.64809
34.75,2.6319
34.5,2.61562
34.25,2.59924
34,2.58281
33.75,2.56649
33.5,2.54994
33.25,2.53343
33,2.51693
32.75,2.5005
32.5,2.48374
32.25,2.46717
32,2.45056
31.75,2.43383
31.5,2.41724
31.25,2.40047
31,2.38373
30.75,2.36681
30.5,2.35001
30.25,2.33309
30,2.31617
29.75,2.29923
29.5,2.28241
29.25,2.26535
29,2.24827
28.75,2.23113
28.5,2.21397
28.25,2.19682
28,2.17971
27.75,2.16244
27.5,2.14525
27.25,2.12792
27,2.11058
26.75,2.09326
26.5,2.07591
26.25,2.05848
26,2.04106
25.75,2.02354
25.5,2.006
25.25,1.98847
25,1.97076
24.75,1.95311
24.5,1.93536
24.25,1.91769
24,1.89996
23.75,1.88219
23.5,1.8644
23.25,1.8466
23,1.82869
22.75,1.81069
22.5,1.79287
22.25,1.77475
22,1.75679
21.75,1.73869
21.5,1.72066
21.25,1.70258
21,1.68436
20.75,1.66616
20.5,1.64792
20.25,1.6297
20,1.61136
19.75,1.59301
19.5,1.57469
19.25,1.55629
19,1.5378
18.75,1.51935
18.5,1.50088
18.25,1.48233
18,1.4637
17.75,1.44505
17.5,1.42643
17.25,1.40773
17,1.38899
16.75,1.37022
16.5,1.35143
16.25,1.3326
16,1.31372
15.75,1.29484
15.5,1.27589
15.25,1.25692
15,1.23792
14.75,1.21886
14.5,1.19977
14.25,1.18064
14,1.16146
13.75,1.14226
13.5,1.12299
13.25,1.10369
13,1.08434
12.75,1.06498
12.5,1.04555
12.25,1.02607
12,1.0065
11.75,0.986967
11.5,0.967353
11.25,0.947698
11,0.927979
10.75,0.908217
10.5,0.888407
10.25,0.868549
10,0.848616
9.75,0.828644
9.5,0.808626
9.25,0.78852
9,0.768375
8.75,0.748177
8.5,0.727904
8.25,0.707566
8,0.687174
7.75,0.666708
7.5,0.646168
7.25,0.625571
7,0.604887
6.75,0.584147
6.5,0.563323
6.25,0.542443
6,0.521477
5.75,0.500453
5.5,0.47935
5.25,0.458167
5,0.436927
4.75,0.415594
4.5,0.394209
4.25,0.372738
4,0.351211
3.75,0.329619
3.5,0.30796
3.25,0.286233
3,0.26446
2.75,0.24263
2.5,0.220752
2.25,0.198826
2,0.176845
1.75,0.154831
1.5,0.132791
1.25,0.110703
1,0.0885891
0.75,0.0664745
0.5,0.0443347
0.25,0.0221844
0,3.42E-05
