Current (mA) - Plot 0,Voltage (mV) - Plot 0,
-23.4,-1.8565,
-23.3,-1.84957,
-23.2,-1.84234,
-23.1,-1.83524,
-23,-1.82801,
-22.9,-1.82096,
-22.8,-1.81382,
-22.7,-1.8065,
-22.6,-1.79937,
-22.5,-1.79224,
-22.4,-1.78513,
-22.3,-1.77775,
-22.2,-1.77074,
-22.1,-1.76342,
-22,-1.75626,
-21.9,-1.74898,
-21.8,-1.74178,
-21.7,-1.73457,
-21.6,-1.72741,
-21.5,-1.72009,
-21.4,-1.71287,
-21.3,-1.70564,
-21.2,-1.69836,
-21.1,-1.69114,
-21,-1.68383,
-20.9,-1.6766,
-20.8,-1.66931,
-20.7,-1.66204,
-20.6,-1.65477,
-20.5,-1.6475,
-20.4,-1.64019,
-20.3,-1.63291,
-20.2,-1.62562,
-20.1,-1.61832,
-20,-1.611,
-19.9,-1.6037,
-19.8,-1.59636,
-19.7,-1.58905,
-19.6,-1.58168,
-19.5,-1.57437,
-19.4,-1.56701,
-19.3,-1.55968,
-19.2,-1.55232,
-19.1,-1.54495,
-19,-1.53758,
-18.9,-1.5302,
-18.8,-1.52281,
-18.7,-1.51541,
-18.6,-1.50804,
-18.5,-1.50063,
-18.4,-1.49325,
-18.3,-1.48583,
-18.2,-1.47842,
-18.1,-1.471,
-18,-1.46356,
-17.9,-1.45614,
-17.8,-1.44871,
-17.7,-1.44127,
-17.6,-1.43383,
-17.5,-1.42636,
-17.4,-1.41889,
-17.3,-1.41141,
-17.2,-1.40395,
-17.1,-1.39647,
-17,-1.38897,
-16.9,-1.38148,
-16.8,-1.37397,
-16.7,-1.36648,
-16.6,-1.35896,
-16.5,-1.35145,
-16.4,-1.34392,
-16.3,-1.3364,
-16.2,-1.32886,
-16.1,-1.32132,
-16,-1.31374,
-15.9,-1.30618,
-15.8,-1.29862,
-15.7,-1.29104,
-15.6,-1.28348,
-15.5,-1.27593,
-15.4,-1.26836,
-15.3,-1.26074,
-15.2,-1.25314,
-15.1,-1.24558,
-15,-1.23797,
-14.9,-1.23033,
-14.8,-1.22271,
-14.7,-1.21509,
-14.6,-1.20745,
-14.5,-1.19978,
